APPOINTMENT_BOOKING_SUMMARY_ID,DATE,HF_CODE,HF_NAME,STATE,TOTAL_SLOTS,AVAILABLE_SLOTS,ACTIVE,WORKING_DAY,SCHEDULED_ID,SCHEDULED_NAME,SERVICE_CODE,booked,cancelled,TOTAL STOK VAKSIN
67adcfaa40024011e5efc72f,2025-02-24 08:00:00,21-06110029,KLINIK KESIHATAN BANDAR MENTAKAB,PAHANG,4,4,true,true,67ab00cb53158407a6dc9f29,VAKSIN INFLUENZA UNTUK WARGA EMAS,GS017,4,0,0
67b3173840024011e5effe31,2025-03-21 08:00:00,21-12160074,KLINIK KESIHATAN KUNDASANG,SABAH,1,1,true,true,67b29e2c1c66da69d7a150a0,Imunisasi influenza untuk warga emas,GS017,0,0,0
67ad451f40024011e5efb137,2025-03-11 08:00:00,21-10070043,KLINIK KESIHATAN KELANA JAYA,SELANGOR,21,21,true,true,679c7d2ee8b7ff765f0d90e0,Vaksin Influenza Warga Emas,GS017,21,2,0
67642818e71c815b6f7a2bdc,2025-12-18 08:00:00,21-12260120,KLINIK KESIHATAN TELUPID,SABAH,40,40,true,true,63e9fbe02d362c03bf13298f,Walk-In Cases,"GS001,GS006,GS007,GS017",0,0,0
67b04f481c66da69d7a1422e,2025-07-16 08:00:00,21-03090281,KLINIK KESIHATAN TANAH MERAH,KELANTAN,7,7,true,true,67919c302ee704056265d56e,influanza adult,GS017,0,0,0
67ad700040024011e5efb57d,2025-02-24 08:00:00,21-04010024,KLINIK KESIHATAN MASJID TANAH,MELAKA,5,5,true,true,67ac1e611c66da69d7a10db0,VAKSIN INFLUENZA,GS017,5,0,0
67b06f1240024011e5efdef5,2025-02-27 08:00:00,21-10090034,KLINIK KESIHATAN DENGKIL,SELANGOR,8,8,true,true,67ad3b0d53158407a6dcac88,Influenza Warga Emas,GS017,8,6,0
67b286331c66da69d7a14f4c,2025-05-28 08:00:00,21-12060059,KLINIK KESIHATAN INANAM,SABAH,7,7,true,true,67b285f453158407a6dcf03e,PERKHIDMATAN IMUNISASI INFLUENZA BAGI WARGA EMAS,GS017,0,0,0
67b2e37e40024011e5eff845,2025-03-25 08:00:00,21-12070116,KLINIK KESIHATAN TANDEK,SABAH,8,8,true,true,67b2e0451c66da69d7a152e8,Vaksin Influenza,GS017,0,0,0
67b1a60953158407a6dcea5d,2025-04-10 08:00:00,21-03070064,KLINIK KESIHATAN MERANTI,KELANTAN,12,12,true,true,67b1990653158407a6dce9f3,Suntikan Influenza Warga Emas,GS017,0,0,0
67bb38e46ca55c1f6043dcb6,2025-03-04 08:00:00,21-03050158,KLINIK KESIHATAN KEROH (KUALA KRAI),KELANTAN,3,3,true,true,67b2be1c53158407a6dcf586,INFLUENZA ,GS017,0,0,0
67ae91151c66da69d7a12d4f,2025-03-11 08:00:00,21-04030011,KLINIK KESIHATAN AYER MOLEK,MELAKA,5,5,true,true,67ae8fe953158407a6dcca8d,Older Person Influenza Immunization,GS017,6,2,0
67b2806340024011e5efec0b,2025-04-06 08:00:00,21-03070117,KLINIK KESIHATAN CHERANG HANGUS,KELANTAN,10,10,true,true,67ad66681c66da69d7a11661,Imunisasi,GS017,0,0,0
67bb32b2e8fcbe4bbb1cfdc3,2025-03-07 08:00:00,21-04030027,KLINIK KESIHATAN PERINGGIT,MELAKA,12,12,true,true,67af072053158407a6dcd9ad,Influenza for Senior Citizen,GS017,0,0,0
67b2eae61c66da69d7a155a5,2025-02-27 08:00:00,21-12060084,KLINIK KESIHATAN MENGGATAL,SABAH,7,3,true,true,67b2eacb1c66da69d7a1559d,Influenza,GS017,4,1,0
