NEGERI,PKD,KLINIK KESIHTAN,BILANGAN STOK,SLOT DIBUKA,SLOT DIAMBIL,KLINIK KESIHATAN BELUM BUKA SLOT,BILANGAN STOK
Perak,Batang Padang,Klinik Desa Temoh Stesyen,,8,6,Klinik Kesihatan Bagan Datoh,34
,,Klinik Kesihatan Air Kuning,20,12,2,Klinik Kesihatan Bagan Serai,100
,Kerian,Klinik Kesihatan Alor Pongsu,50,30,,Klinik Kesihatan Batu 17,25
,,Klinik Kesihatan Ayer Tawar,60,74,69,Klinik Kesihatan Changkat Kruing,15
,,Klinik Kesihatan Batu Kurau,155,296,7,Klinik Kesihatan Chemor,400
,,Klinik Kesihatan Bidor,235,56,37,Klinik Kesihatan Kampung Simee,500
,,Klinik Kesihatan Bota Kiri,60,1215,1,Klinik Kesihatan Kedai Empat,50
,,Klinik Kesihatan Bruas,30,20,9,Klinik Kesihatan Kuala Kurau,60
,,Klinik Kesihatan Buntong,190,770,119,Klinik Kesihatan Langkap,220
,,Klinik Kesihatan Changkat Jering,150,102,11,Klinik Kesihatan Lawin,60
,,Klinik Kesihatan Changkat Lada,70,26,,Klinik Kesihatan Lekir,90
,,Klinik Kesihatan Chemor,400,158,158,Klinik Kesihatan Lenggong,120
,,Klinik Kesihatan Chenderong Balai,160,40,14,Klinik Kesihatan Pengkalan Hulu,120
,,Klinik Kesihatan Felda Bersia,120,65,19,Klinik Kesihatan Plang,60
,,Klinik Kesihatan Gopeng,100,48,27,Klinik Kesihatan Pokok Assam,150
,,Klinik Kesihatan Greentown,220,1576,237,Klinik Kesihatan Pos Kemar,20
,,Klinik Kesihatan Gunung Besout,60,196,,Klinik Kesihatan Pulau Pangkor,30
,,Klinik Kesihatan Gunung Rapat,480,352,,Klinik Kesihatan Redang Panjang,50
,,Klinik Kesihatan Gunung Semanggol,60,1944,12,Klinik Kesihatan Selinsing,25
,,Klinik Kesihatan Hutan Melintang,104,320,26,Klinik Kesihatan Slim River,120
